PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§ge .g@n	4216	ADV	ADV	Open	gegen
§ja .r@	4149	N	NOM	Open	Jahre
§&n .d@ .r@n	4146	PRON	PRO	Closed	anderen
§du	4131	PRON	PRO	Closed	du
§ja .r@n	3981	N	NOM	Open	Jahren
§gipt	3954	V	VERB	Open	gibt
§dX .J@n	3911	A	ADJ	Open	deutschen
§zW .n@	3877	PRON	PRO	Closed	seine
§zW .n@	3877	PRON	PRO	Closed	seine
§drW	3770	NUM	DET	Open	drei
§dOx	3762	C	CONJ	Closed	doch
§dOx	3762	ADV	ADV	Open	doch
§Uns	3761	PRON	PRO	Closed	uns
§Uns	3761	PRON	PRO	Closed	uns
§za .g@n	3754	V	VERB	Open	sagen
§nX .@	3739	A	ADJ	Open	neue
§fra .g@	3739	N	NOM	Open	Frage
§mY .s@n	3716	V	VERB	Open	muessen
§nIç=	3652	PRON	PRO	Closed	nichts
§vIl	3647	V	VERB	Open	will
§& .l@s	3586	PRON	PRO	Closed	alles
§vYr .d@	3582	V	VERB	Open	wuerde
§Op	3565	C	CONJ	Closed	ob
§di .z@n	3564	PRON	PRO	Closed	diesen
§Et .va	3487	ADV	ADV	Open	etwa
§zi	3476	PRON	PRO	Closed	Sie
§zi	3476	N	NOM	Open	Sie
§jaɐ	3474	N	NOM	Open	Jahr
§miɐ	3458	PRON	PRO	Closed	mir
§miɐ	3458	PRON	PRO	Closed	mir
§bIs	3431	PREP	PRE	Closed	bis
§bIs	3431	ADV	ADV	Open	bis
§bIs	3431	C	CONJ	Closed	bis
§erst	3416	ADV	ADV	Open	erst
§hEr	3410	N	NOM	Open	Herr
§i .n@n	3396	PRON	PRO	Closed	ihnen
§W .n@m	3365	ART	DET	Closed	einem
§W .n@m	3365	PRON	PRO	Closed	einem
§W .n@m	3365	NUM	DET	Open	einem
§W .n@m	3365	NUM	DET	Open	einem
§kWn	3360	PRON	PRO	Closed	kein
§& .l@	3269	PRON	PRO	Closed	alle
§& .l@	3269	ADV	ADV	Open	alle
§& .l@n	3229	PRON	PRO	Closed	allen
§im	3164	PRON	PRO	Closed	ihm
§im	3164	PRON	PRO	Closed	ihm
§m& .ç@n	3128	V	VERB	Open	machen
§gut	3109	A	ADJ	Open	gut
§gro .s@n	3079	A	ADJ	Open	grossen
§bW .d@n	3077	PRON	PRO	Closed	beiden
.da §bW	3073	ADV	ADV	Open	dabei
§h&m .bUrk	3063	N	NOM	Open	Hamburg
§kOn .t@	3048	V	VERB	Open	konnte
§vO .l@n	3003	V	VERB	Open	wollen
§h& .t@n	2978	V	VERB	Open	hatten
§zW .t@	2964	N	NOM	Open	Seite
§mIç	2963	PRON	PRO	Closed	mich
§mIx	2963	PRON	PRO	Closed	mich
.da §=u	2960	ADV	ADV	Open	dazu
§frB	2955	N	NOM	Open	Frau
§W .n@n	2951	V	VERB	Open	einen
§W .n@n	2951	ART	DET	Closed	einen
§W .n@n	2951	PRON	PRO	Closed	einen
§W .n@n	2951	NUM	DET	Open	einen
§W .n@n	2951	NUM	DET	Open	einen
§&n .d@ .r@	2920	PRON	PRO	Closed	andere
§kW .n@	2904	PRON	PRO	Closed	keine
§kW .n@	2904	PRON	PRO	Closed	keine
§m&n	2883	N	NOM	Open	Mann
§zWn	2860	V	VERB	Open	sein
§zWn	2860	PRON	PRO	Closed	sein
§zWn	2860	PRON	PRO	Closed	sein
§zWn	2860	PRON	PRO	Closed	sein
§v) .r@	2823	V	VERB	Open	waere
.re §gi .rUN	2806	N	NOM	Open	Regierung
.fi §lWçt	2772	ADV	ADV	Open	vielleicht
.b@ §rW=	2765	ADV	ADV	Open	bereits
§le .b@n	2718	N	NOM	Open	Leben
§&r .bWt	2711	N	NOM	Open	Arbeit
§dEn	2695	C	CONJ	Closed	denn
§dEn	2695	ADV	ADV	Open	denn
§& .lɐ	2672	PRON	PRO	Closed	aller
§dOrt	2650	ADV	ADV	Open	dort
§hX .t@	2636	V	VERB	Open	heute
§bOn	2636	N	NOM	Open	Bonn
§hX .t@	2636	ADV	ADV	Open	heute
§& .l@m	2625	PRON	PRO	Closed	allem
§get	2606	V	VERB	Open	geht
§gro .s@	2571	A	ADJ	Open	grosse
§o .n@	2570	PREP	PRE	Closed	ohne
