PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§ge .g@n .d@n	51	N	NOM	Open	Gegenden
.g@ §h&lt	51	N	NOM	Open	Gehalt
.g@ §h&lt	51	N	NOM	Open	Gehalt
§gEr .st@	51	N	NOM	Open	Gerste
.g@ §zIç .tɐ	51	N	NOM	Open	Gesichter
.g@ §zIç .tɐ	51	N	NOM	Open	Gesichter
.g@ §v) .rUN	51	N	NOM	Open	Gewaehrung
§In .SrIft	51	N	NOM	Open	Inschrift
§kE .nɐ	51	N	NOM	Open	Kenner
§kla .g@n	51	N	NOM	Open	Klagen
§kOx	51	N	NOM	Open	Koch
.kO .mI .si §o .n@n	51	N	NOM	Open	Kommissionen
.kOn .f| .de .r& .=i §on	51	N	NOM	Open	Konfoederation
.kOn .kU §rEn .t@n	51	N	NOM	Open	Konkurrenten
§le .r@ .rIn	51	N	NOM	Open	Lehrerin
§li .ga	51	N	NOM	Open	Liga
.m& §ri .n@	51	N	NOM	Open	Marine
§mi .ni .mUm	51	N	NOM	Open	Minimum
§mIs .fEr .StEnt .nIs	51	N	NOM	Open	Missverstaendnis
§m/nç	51	N	NOM	Open	Moench
§n&x .baɐ	51	N	NOM	Open	Nachbar
§nEn .vert	51	N	NOM	Open	Nennwert
.no §ti=	51	N	NOM	Open	Notiz
.O .fi §=i .r@n	51	N	NOM	Open	Offizieren
§Os .t@ns	51	N	NOM	Open	Ostens
.p& .r& §gra .f@n	51	N	NOM	Open	Paragraphen
§pl&s .tIk	51	N	NOM	Open	Plastik
.re §gi .rUNs .SprE .çɐ	51	N	NOM	Open	Regierungssprecher
.fEɐ §lB .f@	51	N	NOM	Open	Verlaufe
.fEɐ §Ur .tW .lUN	51	N	NOM	Open	Verurteilung
§foɐ .=y .g@	51	N	NOM	Open	Vorzuege
§vEl .dɐn	51	N	NOM	Open	Waeldern
§ve .g@s	51	N	NOM	Open	Weges
§=e .bra	51	N	NOM	Open	Zebra
§SW .b@n	51	N	NOM	Open	Scheiben
§SlUk	51	N	NOM	Open	Schluck
§zi .dlU .N@n	51	N	NOM	Open	Siedlungen
.sk&n .di §na .vi .@n	51	N	NOM	Open	Skandinavien
§StX .@r .=a .lɐ	51	N	NOM	Open	Steuerzahler
§Sti .f@l	51	N	NOM	Open	Stiefel
§trEf .pUNkt	51	N	NOM	Open	Treffpunkt
§trIk	51	N	NOM	Open	Trick
§tuns	51	N	NOM	Open	Tuns
.u .ni §fOr .m@n	51	N	NOM	Open	Uniformen
§pl& .t@n	51	N	NOM	Open	Platten
.b@ §Slak .namt	51	V	VERB	Open	beschlagnahmt
§&p .SnI .t@	51	N	NOM	Open	Abschnitte
§ra .z@n	51	N	NOM	Open	Rasen
§vErk .=X .g@	51	N	NOM	Open	Werkzeuge
.b@ §rW .t@ .t@	51	V	VERB	Open	bereitete
.b@ §SlX .nIçt	50	V	VERB	Open	beschleunigt
.Eɐ §fYl .t@	50	V	VERB	Open	erfuellte
.g@ §felt	50	V	VERB	Open	gefehlt
.g@ §lENkt	50	V	VERB	Open	gelenkt
.o .p@ §rirt	50	V	VERB	Open	operiert
.g@ §rW=t	50	V	VERB	Open	gereizt
§ryɐ .t@	50	V	VERB	Open	ruehrte
§rO .l@n	50	V	VERB	Open	rollen
§rOl .t@	50	V	VERB	Open	rollte
§kOs .t@ .t@	50	V	VERB	Open	kostete
§mEl .d@ .t@n	50	V	VERB	Open	meldeten
§&p .ne .m@n	50	V	VERB	Open	abnehmen
§Bf .vW .z@n	50	V	VERB	Open	aufweisen
§d&x .t@n	50	V	VERB	Open	dachten
.Eɐ §k&n .t@n	50	V	VERB	Open	erkannten
§SnW .d@n	50	V	VERB	Open	schneiden
.Un .t@r §likt	50	V	VERB	Open	unterliegt
.fEɐ §vW .z@n	50	V	VERB	Open	verweisen
§foɐ .ne .m@n	50	V	VERB	Open	vornehmen
§Wn .g@ .SlO .s@n	50	V	VERB	Open	eingeschlossen
.Un .t@r §StrWçt	50	V	VERB	Open	unterstreicht
.Eɐ §fu .r@n	50	V	VERB	Open	erfuhren
§foɐ .=u .ne .m@n	50	V	VERB	Open	vorzunehmen
.&k .=Ep §tirt	50	V	VERB	Open	akzeptiert
.fEɐ §felt	50	V	VERB	Open	verfehlt
§blIk .t@n	50	V	VERB	Open	blickten
§fyl .t@n	50	V	VERB	Open	fuehlten
§nWkt	50	V	VERB	Open	neigt
§bo .t@n	50	V	VERB	Open	boten
.Eɐ §vW .t@r .t@n	50	V	VERB	Open	erweiterten
.b@ §ru .@n	50	V	VERB	Open	beruhen
.b@ §SlX .nI .g@n	50	V	VERB	Open	beschleunigen
§nXn .=en	50	NUM	DET	Open	neunzehn
§nXn .=Iç	50	NUM	DET	Open	neunzig
§&p .ze .ba .rɐ	50	A	ADJ	Open	absehbarer
§&rk	50	A	ADJ	Open	arg
§X .s@r .st@	50	A	ADJ	Open	aeusserste
.bi .o §lo .gI .S@	50	A	ADJ	Open	biologische
§dB .@rn .d@n	50	A	ADJ	Open	dauernden
.de .mo §kra .tIS	50	A	ADJ	Open	demokratisch
§eɐ .lI .ç@n	50	A	ADJ	Open	ehrlichen
§Wn .drUks .fOl	50	A	ADJ	Open	eindrucksvoll
§Wn .ma .lIç	50	A	ADJ	Open	einmalig
§f&l .Sɐ	50	A	ADJ	Open	falscher
§frXnt .S&ft .lI .ç@	50	A	ADJ	Open	freundschaftliche
.g@ §zEl .S&ft .lI .çɐ	50	A	ADJ	Open	gesellschaftlicher
.g@ §v&lt .zam	50	A	ADJ	Open	gewaltsam
§kOs .t@n .lo .z@	50	A	ADJ	Open	kostenlose
§kYr .=ɐ	50	A	ADJ	Open	kuerzer
§lep .h&f .t@n	50	A	ADJ	Open	lebhaften
.mo §dErn .st@n	50	A	ADJ	Open	modernsten
§ne .g& .ti .v@	50	A	ADJ	Open	negative
§pl/= .lI .ç@	50	A	ADJ	Open	ploetzliche
.re .gi .o §na .l@n	50	A	ADJ	Open	regionalen
§Sv&r .=@n	50	N	NOM	Open	Schwarzen
§zElt .za .m@	50	A	ADJ	Open	seltsame
§tX .r@n	50	A	ADJ	Open	teuren
.JE .ços .lo §va .kI .S@	50	A	ADJ	Open	tschechoslowakische
.Un .Er §tr)k .lIç	50	A	ADJ	Open	unertraeglich
§Un .fEr .StEnt .lIç	50	A	ADJ	Open	unverstaendlich
§Un .vIl .kyɐ .lIç	50	A	ADJ	Open	unwillkuerlich
§foɐ .ne .m@n	50	A	ADJ	Open	vornehmen
§=u .StEn .dI .g@	50	A	ADJ	Open	zustaendige
§&p .grUnt	50	N	NOM	Open	Abgrund
§&l .t@rs .grEn .=@	50	N	NOM	Open	Altersgrenze
§&n .rW=	50	N	NOM	Open	Anreiz
§&n .St&lt	50	N	NOM	Open	Anstalt
§&r .bW= .krEf .t@n	50	N	NOM	Open	Arbeitskraeften
.b@ §SlX .nI .gUN	50	N	NOM	Open	Beschleunigung
.b@ §vUn .d@ .rUN	50	N	NOM	Open	Bewunderung
§brif .t& .S@	50	N	NOM	Open	Brieftasche
.Eɐ §l&s	50	N	NOM	Open	Erlass
.Eɐ §n) .rUN	50	N	NOM	Open	Ernaehrung
.Eɐ §nE .nUN	50	N	NOM	Open	Ernennung
§frW .hW .t@n	50	N	NOM	Open	Freiheiten
§fUnt	50	N	NOM	Open	Fund
§gWs .tɐ	50	N	NOM	Open	Geister
.g@ §SrW	50	N	NOM	Open	Geschrei
§gryn	50	N	NOM	Open	Gruen
§grUnt .b@ .zI=	50	N	NOM	Open	Grundbesitz
.gYm §na .zi .Um	50	N	NOM	Open	Gymnasium
.In .tEn §d&nt	50	N	NOM	Open	Intendant
§ja .gu .aɐ	50	N	NOM	Open	Jaguar
.ju .gos §la .vi .@ns	50	N	NOM	Open	Jugoslawiens
.k&l .ku .l& .=i §on	50	N	NOM	Open	Kalkulation
.kOn §=Er .n@	50	N	NOM	Open	Konzerne
§kr&N .k@n .hB .z@s	50	N	NOM	Open	Krankenhauses
.kri .mi §na .li .t)t	50	N	NOM	Open	Kriminalitaet
§kro .n@n	50	N	NOM	Open	Kronen
.ku §lI .s@n	50	N	NOM	Open	Kulissen
§lip .ha .bɐ	50	N	NOM	Open	Liebhaber
.m&n §dat	50	N	NOM	Open	Mandat
.m& .te .ri §a .li .@n	50	N	NOM	Open	Materialien
§me .r@s	50	N	NOM	Open	Meeres
§mi .tɐ	50	N	NOM	Open	Mieter
§mont .Bf .g&N	50	N	NOM	Open	Mondaufgang
§mY .=@	50	N	NOM	Open	Muetze
§nU= .flE .ç@	50	N	NOM	Open	Nutzflaeche
.o §lYm .pi .& .zi .gɐ	50	N	NOM	Open	Olympiasieger
§p&rt .n@rn	50	N	NOM	Open	Partnern
§+eɐ .d@n	50	N	NOM	Open	Pferden
.pOr §tr)	50	N	NOM	Open	Portraet
§rI .tɐ	50	N	NOM	Open	Ritter
§ru .@ .St&nt	50	N	NOM	Open	Ruhestand
.fEɐ §din .st@	50	N	NOM	Open	Verdienste
.fEɐ §din .st@	50	N	NOM	Open	Verdienste
.fEɐ §rat	50	N	NOM	Open	Verrat
.fEɐ §zu .çUN	50	N	NOM	Open	Versuchung
§va .rUN	50	N	NOM	Open	Wahrung
§vElt .Or .dnUN	50	N	NOM	Open	Weltordnung
§=u .g@ .h| .rIç .kWt	50	N	NOM	Open	Zugehoerigkeit
§=u .fEr .lE .sIç .kWt	50	N	NOM	Open	Zuverlaessigkeit
§=u .fEr .zIçt	50	N	NOM	Open	Zuversicht
§Sla .gɐ	50	N	NOM	Open	Schlager
§Slak .=W .l@n	50	N	NOM	Open	Schlagzeilen
§SOt .l&nt	50	N	NOM	Open	Schottland
.zEn .z& .=i §on	50	N	NOM	Open	Sensation
§St&t .r&nt	50	N	NOM	Open	Stadtrand
§t&kt	50	N	NOM	Open	Takt
.t& §lEnt	50	N	NOM	Open	Talent
§tB .b@n	50	N	NOM	Open	Tauben
.tr&k §to .r@n	50	N	NOM	Open	Traktoren
§typs	50	N	NOM	Open	Typs
§Um .lBf	50	N	NOM	Open	Umlauf
§Um .vek	50	N	NOM	Open	Umweg
§drUm	50	ADV	ADV	Open	drum
§e .@ .mals	50	ADV	ADV	Open	ehemals
§nE .to	50	ADV	ADV	Open	netto
.Eɐ §Svert	50	V	VERB	Open	erschwert
§Eɐ .b@n	50	N	NOM	Open	Erben
.de .fi §nirt	49	V	VERB	Open	definiert
.de .mEn §tirt	49	V	VERB	Open	dementiert
.Eɐ §ho .l@n	49	V	VERB	Open	erholen
§fYrç .t@t	49	V	VERB	Open	fuerchtet
§kla .g@n	49	V	VERB	Open	klagen
§zENk .t@	49	V	VERB	Open	senkte
.y .b@r §mI .t@ln	49	V	VERB	Open	uebermitteln
.fEɐ §z& .m@l .t@n	49	V	VERB	Open	versammelten
§von .t@n	49	V	VERB	Open	wohnten
.=Eɐ §St|ɐ .t@n	49	V	VERB	Open	zerstoerten
§an .t@	49	V	VERB	Open	ahnte
.g@ §lipt	49	V	VERB	Open	geliebt
§StY=t	49	V	VERB	Open	stuetzt
§hy .t@n	49	V	VERB	Open	hueten
§n) .@rt	49	V	VERB	Open	naehert
§&n .fOr .dɐn	49	V	VERB	Open	anfordern
§Bf .g@ .f&st	49	V	VERB	Open	aufgefasst
§SIl .dɐn	49	V	VERB	Open	schildern
.b@ §SrWpt	49	V	VERB	Open	beschreibt
§Wn .grW .f@n	49	V	VERB	Open	eingreifen
.Eɐ §r&N	49	V	VERB	Open	errang
§SnIt	49	V	VERB	Open	schnitt
.& .pE §lirt	49	V	VERB	Open	appelliert
.b@ §kEm+t	49	V	VERB	Open	bekaempft
.Ent §hYlt	49	V	VERB	Open	enthuellt
§p&s .t@	49	V	VERB	Open	passte
§tBxt	49	V	VERB	Open	taucht
.Ent §SlOs	49	V	VERB	Open	entschloss
§&n .g@ .v&nt	49	V	VERB	Open	angewandt
.In .fOr §miɐ .t@	49	V	VERB	Open	informierte
§ma .l@n	49	V	VERB	Open	malen
.b@ §zik .t@	49	V	VERB	Open	besiegte
§Strept	49	V	VERB	Open	strebt
.g@ §v&nt	49	V	VERB	Open	gewandt
§=| .g@r .t@	49	V	VERB	Open	zoegerte
.de .fi §ni .r@n	49	V	VERB	Open	definieren
.Eɐ §Spart	49	V	VERB	Open	erspart
.In §dE .s@n	49	C	CONJ	Closed	indessen
§=u .=yk .lIç	49	PREP	PRE	Closed	zuzueglich
§=vW §tB .z@nt	49	NUM	DET	Open	zweitausend
.& .l@ §m& .nI .S@n	49	A	ADJ	Open	alemannischen
§&l .zW .tIç	49	A	ADJ	Open	allseitig
§&l .zW .tI .g@	49	A	ADJ	Open	allseitige
§&n .g@ .v&nt	49	A	ADJ	Open	angewandt
§B .g@n .blIk .lI .ç@n	49	A	ADJ	Open	augenblicklichen
.b@ §dX .t@n .dɐ	49	A	ADJ	Open	bedeutender
.b@ §dX .t@nt .st@	49	A	ADJ	Open	bedeutendste
.b@ §dXt .za .m@	49	A	ADJ	Open	bedeutsame
§braf	49	A	ADJ	Open	brav
.di §rEk .tɐ	49	A	ADJ	Open	direkter
.Em §+Int .lIç	49	A	ADJ	Open	empfindlich
.Eɐ §fOlk .los	49	A	ADJ	Open	erfolglos
§erst .kl& .sI .g@	49	A	ADJ	Open	erstklassige
.Eɐ §v&k .se .n@	49	N	NOM	Open	Erwachsene
§f&r .bI .g@	49	A	ADJ	Open	farbige
§frXnt .lI .ç@n	49	A	ADJ	Open	freundlichen
.g@ §v&nt	49	A	ADJ	Open	gewandt
.In .tE .lEk .tu §E .l@n	49	N	NOM	Open	Intellektuellen
.kO .lEk §ti .v@	49	A	ADJ	Open	kollektive
§SrIft .lI .ç@n	49	A	ADJ	Open	schriftlichen
.Spe §=i .fI .S@n	49	A	ADJ	Open	spezifischen
§StYr .mI .S@n	49	A	ADJ	Open	stuermischen
.tr& .di .=i .o §nE .l@	49	A	ADJ	Open	traditionelle
§f/ .lI .g@n	49	A	ADJ	Open	voelligen
§v&r .m@n	49	A	ADJ	Open	warmen
§vert .fOl	49	A	ADJ	Open	wertvoll
§vYn .S@ns .vert	49	A	ADJ	Open	wuenschenswert
§&p .l| .zUN	49	N	NOM	Open	Abloesung
§&n .=i .UNs .kr&ft	49	N	NOM	Open	Anziehungskraft
§&r .bW= .vW .z@	49	N	NOM	Open	Arbeitsweise
§Bf .zIçt	49	N	NOM	Open	Aufsicht
§bB .foɐ .ha .b@n	49	N	NOM	Open	Bauvorhaben
.b@ §fra .gUN	49	N	NOM	Open	Befragung
§bIl .dUNs .po .li .tik	49	N	NOM	Open	Bildungspolitik
§da .t@n .fEr .&r .bW .tUN	49	N	NOM	Open	Datenverarbeitung
§Wn .f&l	49	N	NOM	Open	Einfall
.g@ §by .r@n	49	N	NOM	Open	Gebuehren
.g@ §f& .N@n .S&ft	49	N	NOM	Open	Gefangenschaft
.g@ §hWm .nI .s@	49	N	NOM	Open	Geheimnisse
.ge .n@ §ra .l@	49	N	NOM	Open	Generale
.g@ §SOs	49	N	NOM	Open	Geschoss
§gna .d@	49	N	NOM	Open	Gnade
§grO .S@n	49	N	NOM	Open	Groschen
§h&N	49	N	NOM	Open	Hang
§hBs .tyɐ	49	N	NOM	Open	Haustuer
§hX .t@	49	N	NOM	Open	Haeute
§jaɐ .tB .z@n .d@	49	N	NOM	Open	Jahrtausende
.kri §te .ri .@n	49	N	NOM	Open	Kriterien
§lWçt .&t .le .t@n	49	N	NOM	Open	Leichtathleten
.me §d&l .j@	49	N	NOM	Open	Medaille
§mEn .S@n .rEç .t@	49	N	NOM	Open	Menschenrechte
§mYn .=@	49	N	NOM	Open	Muenze
§nX .b@ .gIn	49	N	NOM	Open	Neubeginn
§| .l@	49	N	NOM	Open	Oele
.p& §ket	49	N	NOM	Open	Paket
§+&nt .bri .f@	49	N	NOM	Open	Pfandbriefe
§rYk .=a .lUN	49	N	NOM	Open	Rueckzahlung
.fEɐ §kX .fɐ	49	N	NOM	Open	Verkaeufer
.fEɐ §mu .tU .N@n	49	N	NOM	Open	Vermutungen
.fEɐ §+le .gUN	49	N	NOM	Open	Verpflegung
§vi .z@ .prE .zi .dEn .t@n	49	N	NOM	Open	Vizepraesidenten
§vIr .tIn	49	N	NOM	Open	Wirtin
§SlW .ɐ	49	N	NOM	Open	Schleier
§Su .lUN	49	N	NOM	Open	Schulung
§Sv&n=	49	N	NOM	Open	Schwanz
§zElpst .b@ .vUst .zWn	49	N	NOM	Open	Selbstbewusstsein
§Spil .=Wt	49	N	NOM	Open	Spielzeit
§StX .@ .rUN	49	N	NOM	Open	Steuerung
§StrYm .+@	49	N	NOM	Open	Struempfe
.zyt §vEst	49	N	NOM	Open	Suedwest
§zYn .d@	49	N	NOM	Open	Suende
.zYmp §tom	49	N	NOM	Open	Symptom
§tWls	49	N	NOM	Open	Teils
.te .o .lo §gi	49	N	NOM	Open	Theologie
§tIl .gUN	49	N	NOM	Open	Tilgung
§trB .UN	49	N	NOM	Open	Trauung
§trE .f@ns	49	N	NOM	Open	Treffens
§bEs .t@n .f&ls	49	ADV	ADV	Open	bestenfalls
§deɐ §=Wt	49	ADV	ADV	Open	derzeit
.Un .t@r §dE .s@n	49	ADV	ADV	Open	unterdessen
.In §dE .s@n	49	ADV	ADV	Open	indessen
§Bs .g@ .nU=t	48	V	VERB	Open	ausgenutzt
§Bs .g@ .tBSt	48	V	VERB	Open	ausgetauscht
.b@ §fyɐ .vOr .t@t	48	V	VERB	Open	befuerwortet
.b@ §rWt .g@ .StElt	48	V	VERB	Open	bereitgestellt
.Eɐ §nX .t@	48	V	VERB	Open	erneute
.Eɐ §rek .t@	48	V	VERB	Open	erregte
§frX .@	48	V	VERB	Open	freue
§grYn .d@t	48	V	VERB	Open	gruendet
§rBx .t@	48	V	VERB	Open	rauchte
§zi .g@n	48	V	VERB	Open	siegen
§tBx .t@	48	V	VERB	Open	tauchte
.y .b@r §mI .t@l .t@	48	V	VERB	Open	uebermittelte
.fEɐ §&n .l&s .t@	48	V	VERB	Open	veranlasste
.g@ §=Wç .n@t	48	V	VERB	Open	gezeichnet
.=u §fri .d@n .StE .l@nt	48	V	VERB	Open	zufriedenstellend
§re .g@ln	48	V	VERB	Open	regeln
§St&r .t@ .t@	48	V	VERB	Open	startete
.fEɐ §nax .lE .sIçt	48	V	VERB	Open	vernachlaessigt
§&n .g@ .grI .f@n	48	V	VERB	Open	angegriffen
§Bf .he .b@n	48	V	VERB	Open	aufheben
.b@ §dUrf .t@	48	V	VERB	Open	bedurfte
§Su .f@n	48	V	VERB	Open	schufen
.fEɐ §tri .b@n	48	V	VERB	Open	vertrieben
§=u .kOmt	48	V	VERB	Open	zukommt
§zOlst	48	V	VERB	Open	sollst
§klI .N@n	48	V	VERB	Open	klingen
§&n .g@ .br&xt	48	V	VERB	Open	angebracht
§fli .@n	48	V	VERB	Open	fliehen
.fEɐ §brW .t@n	48	V	VERB	Open	verbreiten
§vEk .s@l .t@	48	V	VERB	Open	wechselte
§&p .=u .v&r .t@n	48	V	VERB	Open	abzuwarten
§vaɐ .ne .m@n	48	V	VERB	Open	wahrnehmen
§rB .ç@n	48	V	VERB	Open	rauchen
§krEf .tI .g@n	48	V	VERB	Open	kraeftigen
§&p .hENt	48	V	VERB	Open	abhaengt
§tak .t@	48	V	VERB	Open	tagte
§vIç	48	V	VERB	Open	wich
§=en .t@n	48	NUM	DET	Open	zehnten
§&n .g@ .br&xt	48	A	ADJ	Open	angebracht
§&n .g@ .grI .f@n	48	A	ADJ	Open	angegriffen
§X .s@r .st@n	48	A	ADJ	Open	aeussersten
.b@ §vUs .t@n	48	A	ADJ	Open	bewussten
§Wn .stI .g@n	48	A	ADJ	Open	einstigen
§e .pI .S@n	48	A	ADJ	Open	epischen
§Ern .stɐ	48	A	ADJ	Open	ernster
§Ernst .h&f .t@	48	A	ADJ	Open	ernsthafte
.Eks .pe .ri .mEn §tE .l@n	48	A	ADJ	Open	experimentellen
§fry .@s .t@n	48	A	ADJ	Open	fruehesten
.i .t& .li §e .nI .Sɐ	48	A	ADJ	Open	italienischer
§k/r .p@r .lI .ç@n	48	A	ADJ	Open	koerperlichen
§krEf .tI .g@n	48	A	ADJ	Open	kraeftigen
§n&k .t@	48	A	ADJ	Open	nackte
§on .mEç .tIç	48	A	ADJ	Open	ohnmaechtig
§SEr .fɐ	48	A	ADJ	Open	schaerfer
.sk&n .di §na .vI .S@n	48	A	ADJ	Open	skandinavischen
.zu .v@ §r) .n@n	48	A	ADJ	Open	souveraenen
§Sprax .lI .ç@n	48	A	ADJ	Open	sprachlichen
.fEɐ §&nt .vOrt .lI .ç@	48	A	ADJ	Open	verantwortliche
§fO .l@s	48	A	ADJ	Open	volles
§vW .t@s .t@n	48	A	ADJ	Open	weitesten
§=Wt .lI .ç@	48	A	ADJ	Open	zeitliche
.&k .ti .vi §t) .t@n	48	N	NOM	Open	Aktivitaeten
§&l .p@n	48	N	NOM	Open	Alpen
§&l .p@n	48	N	NOM	Open	Alpen
§&n .dX .tU .N@n	48	N	NOM	Open	Andeutungen
§&r .bW= .grU .p@	48	N	NOM	Open	Arbeitsgruppe
§Bs .f&l	48	N	NOM	Open	Ausfall
§Bs .l&n .d@s	48	N	NOM	Open	Auslandes
§Bs .SprUx	48	N	NOM	Open	Ausspruch
.b@ §k&nt .m& .çUN	48	N	NOM	Open	Bekanntmachung
.b@ §Sveɐ .d@n	48	N	NOM	Open	Beschwerden
.b@ §vUst .zWns	48	N	NOM	Open	Bewusstseins
.b@ §=Irks	48	N	NOM	Open	Bezirks
§blI=	48	N	NOM	Open	Blitz
§blUf	48	N	NOM	Open	Bluff
.di .rEk .=i §on	48	N	NOM	Open	Direktion
.dIs .=Ip §li .n@n	48	N	NOM	Open	Disziplinen
.dUrç §zu .çUN	48	N	NOM	Open	Durchsuchung
§e .@n	48	N	NOM	Open	Ehen
.e .le §f&n .t@n	48	N	NOM	Open	Elefanten
§fe .dɐn	48	N	NOM	Open	Federn
§fEɐ .tIç .StE .lUN	48	N	NOM	Open	Fertigstellung
§fOl .g@ .rU .N@n	48	N	NOM	Open	Folgerungen
§fUn .d@	48	N	NOM	Open	Funde
§fYnf .t@l	48	N	NOM	Open	Fuenftel
.g@ §f& .l@n	48	N	NOM	Open	Gefallen
.g@ §re .d@	48	N	NOM	Open	Gerede
§gl) .zɐ	48	N	NOM	Open	Glaeser
.gr& §m& .tIk	48	N	NOM	Open	Grammatik
.hIn .t@r §le .gUN	48	N	NOM	Open	Hinterlegung
§ho .nIç	48	N	NOM	Open	Honig
.In .sti §tu .t@n	48	N	NOM	Open	Instituten
§ka .dɐ .&p .tW .lUN	48	N	NOM	Open	Kaderabteilung
.k& §lEn .dɐ	48	N	NOM	Open	Kalender
§kni .@n	48	N	NOM	Open	Knien
.kOm .po §nIst	48	N	NOM	Open	Komponist
.kOn §kUrs	48	N	NOM	Open	Konkurs
§kUr .z@s	48	N	NOM	Open	Kurses
§le .bɐ	48	N	NOM	Open	Leber
§lEn=	48	N	NOM	Open	Lenz
§ly .ri .kɐ	48	N	NOM	Open	Lyriker
§mI .t@l .&l .t@rs	48	N	NOM	Open	Mittelalters
.p&r .l& .mEn §ta .ri .ɐ	48	N	NOM	Open	Parlamentarier
.po §le .mIk	48	N	NOM	Open	Polemik
§pry .fU .N@n	48	N	NOM	Open	Pruefungen
§kvEk .zIl .bɐ	48	N	NOM	Open	Quecksilber
§ro .z@n	48	N	NOM	Open	Rosen
§vW .g@ .rUN	48	N	NOM	Open	Weigerung
§vErft	48	N	NOM	Open	Werft
§=W .l@	48	N	NOM	Open	Zeile
§=o .n@n	48	N	NOM	Open	Zonen
§SI .f@n	48	N	NOM	Open	Schiffen
§SlUs .fOl .g@ .rUN	48	N	NOM	Open	Schlussfolgerung
.ze .mi §naɐ	48	N	NOM	Open	Seminar
§zOn .tak .a .b@nt	48	N	NOM	Open	Sonntagabend
.Spe .=i §a .li .zi .rUN	48	N	NOM	Open	Spezialisierung
§StE .lU .N@n	48	N	NOM	Open	Stellungen
§StY .=@	48	N	NOM	Open	Stuetze
§zU .m@n	48	N	NOM	Open	Summen
§y .b@r .ze	48	N	NOM	Open	Uebersee
.Un .t@r §SW .dUN	48	N	NOM	Open	Unterscheidung
.&n .Wn §&n .dɐ	48	ADV	ADV	Open	aneinander
§Bf .vEr=	48	ADV	ADV	Open	aufwaerts
.fEɐ §ge .bEns	48	ADV	ADV	Open	vergebens
§kl&N	48	N	NOM	Open	Klang
§Sos	48	N	NOM	Open	Schoss
.f& §SIs .tI .S@	48	A	ADJ	Open	faschistische
§h/l .z@r .n@n	48	A	ADJ	Open	hoelzernen
.b@ §grEn=t	47	V	VERB	Open	begrenzt
.b@ §hBp .t@ .t@n	47	V	VERB	Open	behaupteten
.b@ §jat	47	V	VERB	Open	bejaht
.b@ §nU= .t@n	47	V	VERB	Open	benutzten
§glBpst	47	V	VERB	Open	glaubst
§li .f@r .t@n	47	V	VERB	Open	lieferten
§rEç .n@	47	V	VERB	Open	rechne
.fEɐ §En .dɐ .t@	47	V	VERB	Open	veraenderte
§SY=t	47	V	VERB	Open	schuetzt
§Wn .ze .@n	47	V	VERB	Open	einsehen
.Em §+ENt	47	V	VERB	Open	empfaengt
§tWl .nam	47	V	VERB	Open	teilnahm
§bIrkt	47	V	VERB	Open	birgt
.Eɐ §Srak	47	V	VERB	Open	erschrak
§Wn .zE= .t@	47	V	VERB	Open	einsetzte
.Eɐ §W .gn@t	47	V	VERB	Open	ereignet
§Bs .=u .bB .@n	47	V	VERB	Open	auszubauen
§vYr .d@st	47	V	VERB	Open	wuerdest
§flo .g@n	47	V	VERB	Open	flogen
.b@ §glW .t@n	47	V	VERB	Open	begleiten
.b@ §vaɐ .t@	47	V	VERB	Open	bewahrte
.re .& §giɐ .t@	47	V	VERB	Open	reagierte
.b@ §glW .t@ .t@	47	V	VERB	Open	begleitete
§fli .s@n	47	V	VERB	Open	fliessen
§den .je .nI .g@n	47	PRON	PRO	Closed	denjenigen
§&r .bW= .lo .z@	47	N	NOM	Open	Arbeitslose
§B .g@n .blIk .lIç	47	A	ADJ	Open	augenblicklich
.b@ §grEn=t	47	A	ADJ	Open	begrenzt
.b@ §SW .d@ .n@n	47	A	ADJ	Open	bescheidenen
§blu .tI .g@n	47	A	ADJ	Open	blutigen
§bUnt	47	A	ADJ	Open	bunt
§dis .j) .rI .g@	47	A	ADJ	Open	diesjaehrige
§drI .N@n .d@	47	A	ADJ	Open	dringende
§drI .tɐ	47	N	NOM	Open	Dritter
§dUN .klɐ	47	A	ADJ	Open	dunkler
§fW .n@	47	A	ADJ	Open	feine
.g@ §f& .N@ .n@	47	N	NOM	Open	Gefangene
§gEs .trI .g@n	47	A	ADJ	Open	gestrigen
.g@ §vErk .S&ft .lI .ç@n	47	A	ADJ	Open	gewerkschaftlichen
§glW .ç@s	47	A	ADJ	Open	gleiches
§glYk .lI .ç@n	47	A	ADJ	Open	gluecklichen
§gYl .tI .g@n	47	A	ADJ	Open	gueltigen
§h&r .tɐ	47	A	ADJ	Open	harter
§j)ɐ .lI .ç@	47	A	ADJ	Open	jaehrliche
.kO .mu §nIs .tI .Sɐ	47	A	ADJ	Open	kommunistischer
.kOn .ti .nu §iɐ .lIç	47	A	ADJ	Open	kontinuierlich
§kUr= .frIs .tI .g@n	47	A	ADJ	Open	kurzfristigen
.mo §dErn .st@	47	A	ADJ	Open	modernste
§n&kt	47	A	ADJ	Open	nackt
§ni .dɐ .zEk .sI .S@	47	A	ADJ	Open	niedersaechsische
§ni .drI .g@	47	A	ADJ	Open	niedrige
.nOr §ma .lɐ	47	A	ADJ	Open	normaler
.Or .g& .ni .z& §to .rI .S@	47	A	ADJ	Open	organisatorische
§rEçt .lI .ç@n	47	A	ADJ	Open	rechtlichen
