CobW\CobWMln\PhonStrsDISC\Word
381744\22928\'1\a
389536\23396\'1\a
389535\23396\'1\A
7792\468\'1\a
30\2\"1-'1\AA
55\3\"1-'1\AA
0\0\"1-'1z\AAs
0\0\'{-b@-s2\abaci
57\3\@-'b{k\aback
8\0\'{-b@-k@s\abacus
0\0\'{-b@-k@-sIz\abacuses
0\0\@-'b#ft\abaft
2\0\@-'b#ft\abaft
34\2\@-'b{n-d@n\abandon
62\4\@-'b{n-d@n\abandon
25\2\@-'b{n-d@nd\abandoned
122\7\@-'b{n-d@nd\abandoned
78\5\@-'b{n-d@-nIN\abandoning
93\6\@-'b{n-d@n-m@nt\abandonment
14\1\@-'b{n-d@nz\abandons
0\0\@-'b1s\abase
0\0\@-'b1st\abased
6\0\@-'b1s-m@nt\abasement
1\0\@-'b1-sIz\abases
0\0\@-'b{S\abash
3\0\@-'b{St\abashed
0\0\@-'b{-SIz\abashes
0\0\@-'b{-SIN\abashing
1\0\@-'b1-sIN\abasing
2\0\@-'b1t\abate
5\0\@-'b1-tId\abated
13\1\@-'b1t-m@nt\abatement
3\0\@-'b1ts\abates
6\0\@-'b1-tIN\abating
15\1\'{-b@-tw#R\abattoir
13\1\'{-b@-tw#z\abattoirs
14\1\'{-b1\abb#e
0\0\'{-b1z\abb#es
52\3\'{-bEs\abbess
0\0\'{-bE-sIz\abbesses
173\10\'{-bI\abbey
5\0\'{-bIz\abbeys
34\2\'{-b@t\abbot
9\1\'{-b@ts\abbots
1\0\@-'bri-vI-1t\abbreviate
6\0\@-'bri-vI-1-tId\abbreviated
0\0\@-'bri-vI-1ts\abbreviates
1\0\@-'bri-vI-1-tIN\abbreviating
12\1\@-"bri-vI-'1-SH\abbreviation
2\0\@-"bri-vI-'1-SHz\abbreviations
22\1\"1-bi-'si\ABC
1\0\"1-bi-'siz\ABCs
2\0\"1-bi-'siz\ABC's
3\0\'{b-dI-k1t\abdicate
3\0\'{b-dI-k1-tId\abdicated
